"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0032970","BP","GO:0032970","regulation of actin filament-based process","1/12","215/18284",0.132366720263099,0.168699290895391,0.081200288465168,"rhogd",1
"GO:0051345","BP","GO:0051345","positive regulation of hydrolase activity","1/12","215/18284",0.132366720263099,0.168699290895391,0.081200288465168,"mul1a",1
"GO:0043087","BP","GO:0043087","regulation of GTPase activity","1/12","216/18284",0.132942933631678,0.168699290895391,0.081200288465168,"plxna1a",1
"GO:0010564","BP","GO:0010564","regulation of cell cycle process","1/12","217/18284",0.133518796195128,0.168699290895391,0.081200288465168,"senp6b",1
"GO:0032535","BP","GO:0032535","regulation of cellular component size","1/12","218/18284",0.134094308147619,0.168699290895391,0.081200288465168,"cdkl5",1
"GO:0031401","BP","GO:0031401","positive regulation of protein modification process","1/12","221/18284",0.135818742279577,0.169955003708134,0.0818047026395426,"gdf9",1
"GO:0000375","BP","GO:0000375","RNA splicing, via transesterification reactions","1/12","225/18284",0.138113090998096,0.170097175229234,0.0818731342758796,"si:dkey-86e18.1",1
"GO:0000377","BP","GO:0000377","RNA splicing, via transesterification reactions with bulged adenosine as nucleophile","1/12","225/18284",0.138113090998096,0.170097175229234,0.0818731342758796,"si:dkey-86e18.1",1
"GO:0000398","BP","GO:0000398","mRNA splicing, via spliceosome","1/12","225/18284",0.138113090998096,0.170097175229234,0.0818731342758796,"si:dkey-86e18.1",1
"GO:0016570","BP","GO:0016570","histone modification","1/12","232/18284",0.142114769836478,0.173897399640884,0.0837023021213432,"rps6ka4",1
"GO:0007265","BP","GO:0007265","Ras protein signal transduction","1/12","233/18284",0.142685045859187,0.173897399640884,0.0837023021213432,"rhogd",1
"GO:0034765","BP","GO:0034765","regulation of ion transmembrane transport","1/12","235/18284",0.143824555544994,0.174377958536418,0.08393361027169,"tmem33",1
"GO:0042327","BP","GO:0042327","positive regulation of phosphorylation","1/12","237/18284",0.144962676701038,0.174637460473424,0.0840585167370956,"gdf9",1
"GO:0007005","BP","GO:0007005","mitochondrion organization","1/12","238/18284",0.145531217061187,0.174637460473424,0.0840585167370956,"mul1a",1
"GO:0034762","BP","GO:0034762","regulation of transmembrane transport","1/12","243/18284",0.148368724366172,0.176457691217691,0.0849346511934005,"tmem33",1
"GO:0140694","BP","GO:0140694","non-membrane-bounded organelle assembly","1/12","246/18284",0.150067080057773,0.176457691217691,0.0849346511934005,"senp6b",1
"GO:0010256","BP","GO:0010256","endomembrane system organization","1/12","247/18284",0.150632508322509,0.176457691217691,0.0849346511934005,"tmem33",1
"GO:0010562","BP","GO:0010562","positive regulation of phosphorus metabolic process","1/12","249/18284",0.151762330551141,0.176457691217691,0.0849346511934005,"gdf9",1
"GO:0045937","BP","GO:0045937","positive regulation of phosphate metabolic process","1/12","249/18284",0.151762330551141,0.176457691217691,0.0849346511934005,"gdf9",1
"GO:1902533","BP","GO:1902533","positive regulation of intracellular signal transduction","1/12","249/18284",0.151762330551141,0.176457691217691,0.0849346511934005,"mul1a",1
"GO:0048863","BP","GO:0048863","stem cell differentiation","1/12","250/18284",0.152326724897323,0.176457691217691,0.0849346511934005,"pomca",1
"GO:0043269","BP","GO:0043269","regulation of ion transport","1/12","274/18284",0.165769349864456,0.191083881124545,0.0919746976173023,"tmem33",1
"GO:0090066","BP","GO:0090066","regulation of anatomical structure size","1/12","285/18284",0.171865002315365,0.196807837946355,0.094729818534683,"cdkl5",1
"GO:0001932","BP","GO:0001932","regulation of protein phosphorylation","1/12","286/18284",0.172417122987192,0.196807837946355,0.094729818534683,"gdf9",1
"GO:0044087","BP","GO:0044087","regulation of cellular component biogenesis","1/12","290/18284",0.174622233103325,0.198357293913486,0.0954756205521502,"senp6b",1
"GO:0008380","BP","GO:0008380","RNA splicing","1/12","300/18284",0.180111465897644,0.203492331847007,0.0979472762376505,"si:dkey-86e18.1",1
"GO:0006897","BP","GO:0006897","endocytosis","1/12","302/18284",0.181205288552153,0.203492331847007,0.0979472762376505,"rhogd",1
"GO:0006325","BP","GO:0006325","chromatin organization","1/12","303/18284",0.181751698102668,0.203492331847007,0.0979472762376505,"supt4h1",1
"GO:0007264","BP","GO:0007264","small GTPase mediated signal transduction","1/12","309/18284",0.185023142243881,0.206168644214611,0.0992354697749138,"rhogd",1
"GO:0022613","BP","GO:0022613","ribonucleoprotein complex biogenesis","1/12","322/18284",0.192070179792203,0.212597763039896,0.102330007401119,"si:dkey-86e18.1",1
"GO:0022414","BP","GO:0022414","reproductive process","1/12","323/18284",0.19260993916435,0.212597763039896,0.102330007401119,"gdf9",1
"GO:0000003","BP","GO:0000003","reproduction","1/12","327/18284",0.194765672801231,0.213967922232338,0.102989508226992,"gdf9",1
"GO:0007169","BP","GO:0007169","transmembrane receptor protein tyrosine kinase signaling pathway","1/12","332/18284",0.197452919968106,0.215906463890359,0.103922589456898,"tmem33",1
"GO:0007015","BP","GO:0007015","actin filament organization","1/12","346/18284",0.204933539185388,0.223043944973864,0.107358084175454,"rhogd",1
"GO:0001525","BP","GO:0001525","angiogenesis","1/12","350/18284",0.207059088152466,0.224314012165172,0.107969407564883,"tmem33",1
"GO:0002682","BP","GO:0002682","regulation of immune system process","1/12","370/18284",0.217608913216115,0.233633279839884,0.112455064970165,"rhogd",1
"GO:0000226","BP","GO:0000226","microtubule cytoskeleton organization","1/12","372/18284",0.218656787542456,0.233633279839884,0.112455064970165,"senp6b",1
"GO:0042325","BP","GO:0042325","regulation of phosphorylation","1/12","372/18284",0.218656787542456,0.233633279839884,0.112455064970165,"gdf9",1
"GO:0048589","BP","GO:0048589","developmental growth","1/12","380/18284",0.222835432881721,0.237015869519649,0.114083212049493,"cdkl5",1
"GO:0043085","BP","GO:0043085","positive regulation of catalytic activity","1/12","391/18284",0.228547625450589,0.241991603418271,0.11647818967951,"mul1a",1
"GO:0031399","BP","GO:0031399","regulation of protein modification process","1/12","394/18284",0.230098802685616,0.242536575803758,0.116740502073783,"gdf9",1
"GO:0030031","BP","GO:0030031","cell projection assembly","1/12","399/18284",0.232677745885255,0.244155123484976,0.117519560111977,"rhogd",1
"GO:0019220","BP","GO:0019220","regulation of phosphate metabolic process","1/12","418/18284",0.242405678413458,0.252101905549996,0.121344596913404,"gdf9",1
"GO:0051174","BP","GO:0051174","regulation of phosphorus metabolic process","1/12","418/18284",0.242405678413458,0.252101905549996,0.121344596913404,"gdf9",1
"GO:0048514","BP","GO:0048514","blood vessel morphogenesis","1/12","426/18284",0.246467723379234,0.2551922445608,0.12283207452994,"tmem33",1
"GO:0045893","BP","GO:0045893","positive regulation of transcription, DNA-templated","1/12","465/18284",0.265985810541975,0.271114560868615,0.130495987462626,"supt4h1",1
"GO:1902680","BP","GO:1902680","positive regulation of RNA biosynthetic process","1/12","465/18284",0.265985810541975,0.271114560868615,0.130495987462626,"supt4h1",1
"GO:1903508","BP","GO:1903508","positive regulation of nucleic acid-templated transcription","1/12","465/18284",0.265985810541975,0.271114560868615,0.130495987462626,"supt4h1",1
"GO:0044093","BP","GO:0044093","positive regulation of molecular function","1/12","466/18284",0.26648012393069,0.271114560868615,0.130495987462626,"mul1a",1
"GO:0051726","BP","GO:0051726","regulation of cell cycle","1/12","475/18284",0.270915232495607,0.274433612138407,0.132093551501617,"senp6b",1
"GO:0001568","BP","GO:0001568","blood vessel development","1/12","480/18284",0.273368546759196,0.275725172162292,0.13271522006912,"tmem33",1
"GO:0098662","BP","GO:0098662","inorganic cation transmembrane transport","1/12","489/18284",0.277765451811923,0.278252488315337,0.133931697029874,"tmem33",1
"GO:0051049","BP","GO:0051049","regulation of transport","1/12","490/18284",0.278252488315337,0.278252488315337,0.133931697029874,"tmem33",1
"GO:0002116","CC","GO:0002116","semaphorin receptor complex","1/12","12/18602",0.00771597013917968,0.0659754064777972,0.047350770199376,"plxna1a",1
"GO:0031307","CC","GO:0031307","integral component of mitochondrial outer membrane","1/12","12/18602",0.00771597013917968,0.0659754064777972,0.047350770199376,"mul1a",1
"GO:0031306","CC","GO:0031306","intrinsic component of mitochondrial outer membrane","1/12","14/18602",0.00899664633788144,0.0659754064777972,0.047350770199376,"mul1a",1
"GO:0008023","CC","GO:0008023","transcription elongation factor complex","1/12","41/18602",0.0261381272103102,0.110140835754098,0.0790484467134671,"supt4h1",1
"GO:0032592","CC","GO:0032592","integral component of mitochondrial membrane","1/12","62/18602",0.0392820121499847,0.110140835754098,0.0790484467134671,"mul1a",1
"GO:0032838","CC","GO:0032838","plasma membrane bounded cell projection cytoplasm","1/12","64/18602",0.0405252910753411,0.110140835754098,0.0790484467134671,"cdkl5",1
"GO:0098573","CC","GO:0098573","intrinsic component of mitochondrial membrane","1/12","66/18602",0.0417670949752826,0.110140835754098,0.0790484467134671,"mul1a",1
"GO:0099568","CC","GO:0099568","cytoplasmic region","1/12","82/18602",0.0516486158621751,0.110140835754098,0.0790484467134671,"cdkl5",1
"GO:0005777","CC","GO:0005777","peroxisome","1/12","88/18602",0.0553300401356148,0.110140835754098,0.0790484467134671,"mul1a",1
"GO:0042579","CC","GO:0042579","microbody","1/12","88/18602",0.0553300401356148,0.110140835754098,0.0790484467134671,"mul1a",1
"GO:0005741","CC","GO:0005741","mitochondrial outer membrane","1/12","96/18602",0.0602182286723257,0.110140835754098,0.0790484467134671,"mul1a",1
"GO:0019867","CC","GO:0019867","outer membrane","1/12","104/18602",0.0650832211274213,0.110140835754098,0.0790484467134671,"mul1a",1
"GO:0031968","CC","GO:0031968","organelle outer membrane","1/12","104/18602",0.0650832211274213,0.110140835754098,0.0790484467134671,"mul1a",1
"GO:0005938","CC","GO:0005938","cell cortex","1/12","168/18602",0.103180033636955,0.162140052858072,0.116368458989047,"rhogd",1
"GO:0030425","CC","GO:0030425","dendrite","1/12","217/18602",0.131380178980697,0.180647746098458,0.129651492415161,"cdkl5",1
"GO:0097447","CC","GO:0097447","dendritic tree","1/12","217/18602",0.131380178980697,0.180647746098458,0.129651492415161,"cdkl5",1
"GO:0031301","CC","GO:0031301","integral component of organelle membrane","1/12","251/18602",0.150467383361292,0.18319568917844,0.131480159697445,"mul1a",1
"GO:0036477","CC","GO:0036477","somatodendritic compartment","1/12","261/18602",0.156007643550985,0.18319568917844,0.131480159697445,"cdkl5",1
"GO:0031300","CC","GO:0031300","intrinsic component of organelle membrane","1/12","265/18602",0.158214458835925,0.18319568917844,0.131480159697445,"mul1a",1
"GO:0043235","CC","GO:0043235","receptor complex","1/12","281/18602",0.16698892984529,0.18368782282982,0.131833365667335,"plxna1a",1
"GO:0031966","CC","GO:0031966","mitochondrial membrane","1/12","415/18602",0.237250474916166,0.24854811657884,0.178383815726441,"mul1a",1
"GO:0005740","CC","GO:0005740","mitochondrial envelope","1/12","441/18602",0.250237028563437,0.250237028563437,0.179595953514429,"mul1a",1
"GO:0033612","MF","GO:0033612","receptor serine/threonine kinase binding","1/11","15/17771",0.00924829513207936,0.0674607173398455,0.0436992500986854,"gdf9",1
"GO:0070696","MF","GO:0070696","transmembrane receptor protein serine/threonine kinase binding","1/11","15/17771",0.00924829513207936,0.0674607173398455,0.0436992500986854,"gdf9",1
"GO:0004693","MF","GO:0004693","cyclin-dependent protein serine/threonine kinase activity","1/11","18/17771",0.011088596717472,0.0674607173398455,0.0436992500986854,"cdkl5",1
"GO:0097472","MF","GO:0097472","cyclin-dependent protein kinase activity","1/11","18/17771",0.011088596717472,0.0674607173398455,0.0436992500986854,"cdkl5",1
"GO:0017154","MF","GO:0017154","semaphorin receptor activity","1/11","19/17771",0.0117013396587275,0.0674607173398455,0.0436992500986854,"plxna1a",1
"GO:0000993","MF","GO:0000993","RNA polymerase II complex binding","1/11","25/17771",0.015370554892307,0.0674607173398455,0.0436992500986854,"supt4h1",1
"GO:0001098","MF","GO:0001098","basal transcription machinery binding","1/11","27/17771",0.0165908718169144,0.0674607173398455,0.0436992500986854,"supt4h1",1
"GO:0001099","MF","GO:0001099","basal RNA polymerase II transcription machinery binding","1/11","27/17771",0.0165908718169144,0.0674607173398455,0.0436992500986854,"supt4h1",1
"GO:0043175","MF","GO:0043175","RNA polymerase core enzyme binding","1/11","30/17771",0.0184187693603315,0.0674607173398455,0.0436992500986854,"supt4h1",1
"GO:0005184","MF","GO:0005184","neuropeptide hormone activity","1/11","31/17771",0.0190273818138026,0.0674607173398455,0.0436992500986854,"pomca",1
"GO:0070063","MF","GO:0070063","RNA polymerase binding","1/11","31/17771",0.0190273818138026,0.0674607173398455,0.0436992500986854,"supt4h1",1
"GO:0048018","MF","GO:0048018","receptor ligand activity","2/11","409/17771",0.0253317096978236,0.0748008798917463,0.0484540112659086,"gdf9/pomca",2
"GO:0030546","MF","GO:0030546","signaling receptor activator activity","2/11","411/17771",0.0255631023868703,0.0748008798917463,0.0484540112659086,"gdf9/pomca",2
"GO:0030545","MF","GO:0030545","signaling receptor regulator activity","2/11","422/17771",0.0268515979098576,0.0748008798917463,0.0484540112659086,"gdf9/pomca",2
"GO:0019899","MF","GO:0019899","enzyme binding","2/11","470/17771",0.0327801962618504,0.085228510280811,0.0552087515989059,"supt4h1/rhogd",2
"GO:0019783","MF","GO:0019783","ubiquitin-like protein peptidase activity","1/11","96/17771",0.0578592072665129,0.141031817712125,0.0913566430523889,"senp6b",1
"GO:0000287","MF","GO:0000287","magnesium ion binding","1/11","108/17771",0.0648734214121017,0.146860942058255,0.0951325940458335,"rps6ka4",1
"GO:0004197","MF","GO:0004197","cysteine-type endopeptidase activity","1/11","113/17771",0.0677819732576563,0.146860942058255,0.0951325940458335,"senp6b",1
"GO:0005179","MF","GO:0005179","hormone activity","1/11","128/17771",0.0764583537289349,0.151802515814217,0.0983336134828935,"pomca",1
"GO:0008083","MF","GO:0008083","growth factor activity","1/11","135/17771",0.0804821525880774,0.151802515814217,0.0983336134828935,"gdf9",1
"GO:0106310","MF","GO:0106310","protein serine kinase activity","1/11","143/17771",0.0850612599907229,0.151802515814217,0.0983336134828935,"rps6ka4",1
"GO:0016853","MF","GO:0016853","isomerase activity","1/11","144/17771",0.0856321884080198,0.151802515814217,0.0983336134828935,"top3b",1
"GO:0005125","MF","GO:0005125","cytokine activity","1/11","157/17771",0.0930248435794314,0.155369640567988,0.100644301582502,"gdf9",1
"GO:0019901","MF","GO:0019901","protein kinase binding","1/11","166/17771",0.0981109605703518,0.155369640567988,0.100644301582502,"rhogd",1
"GO:0042802","MF","GO:0042802","identical protein binding","1/11","169/17771",0.0998005620815937,0.155369640567988,0.100644301582502,"mul1a",1
"GO:0019900","MF","GO:0019900","kinase binding","1/11","176/17771",0.10373178085797,0.155369640567988,0.100644301582502,"rhogd",1
"GO:0140097","MF","GO:0140097","catalytic activity, acting on DNA","1/11","183/17771",0.107647386304935,0.155369640567988,0.100644301582502,"top3b",1
"GO:0008234","MF","GO:0008234","cysteine-type peptidase activity","1/11","190/17771",0.11154743425394,0.155369640567988,0.100644301582502,"senp6b",1
"GO:0061630","MF","GO:0061630","ubiquitin protein ligase activity","1/11","282/17771",0.161385170260876,0.216640092462391,0.140333663133533,"mul1a",1
"GO:0061659","MF","GO:0061659","ubiquitin-like protein ligase activity","1/11","292/17771",0.16664622497107,0.216640092462391,0.140333663133533,"mul1a",1
"GO:0003924","MF","GO:0003924","GTPase activity","1/11","342/17771",0.19250424481311,0.24218275960359,0.156879520390989,"rhogd",1
"GO:0004842","MF","GO:0004842","ubiquitin-protein transferase activity","1/11","402/17771",0.222569974373882,0.263249179178382,0.170525784083162,"mul1a",1
"GO:0019787","MF","GO:0019787","ubiquitin-like protein transferase activity","1/11","422/17771",0.232363398214777,0.263249179178382,0.170525784083162,"mul1a",1
"GO:0004175","MF","GO:0004175","endopeptidase activity","1/11","425/17771",0.233822698930673,0.263249179178382,0.170525784083162,"senp6b",1
"GO:0017111","MF","GO:0017111","nucleoside-triphosphatase activity","1/11","430/17771",0.236249263365214,0.263249179178382,0.170525784083162,"rhogd",1
"GO:0016462","MF","GO:0016462","pyrophosphatase activity","1/11","485/17771",0.262484193865115,0.268098150482084,0.173666818126046,"rhogd",1
"GO:0016818","MF","GO:0016818","hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides","1/11","495/17771",0.267165197294255,0.268098150482084,0.173666818126046,"rhogd",1
"GO:0016817","MF","GO:0016817","hydrolase activity, acting on acid anhydrides","1/11","496/17771",0.267631808942192,0.268098150482084,0.173666818126046,"rhogd",1
"GO:0005525","MF","GO:0005525","GTP binding","1/11","497/17771",0.268098150482084,0.268098150482084,0.173666818126046,"rhogd",1
