"","gene","peak_snp","rank.x","rank.y","rank.x.1","rank.y.1","rank.x.2","rank.y.2","rank.x.3","rank.y.3","rank.x.4","rank.y.4","rank.x.5","rank.y.5","rank.x.6","rank.y.6","rank.x.7","rank.y.7","rank.x.8","rank.y.8","rank.x.9","rank.y.9","rank.x.10","rank.y.10","rank.x.11","rank.y.11","rank.x.12","rank.y.12","rank.x.13","rank.y.13","rank.x.14","rank.y.14","rank.x.15","rank.y.15","rank.x.16","rank.y.16","rank.x.17","rank.y.17","rank.x.18","rank.y.18","rank.x.19","rank.y.19","rank.x.20","rank.y.20","rank.x.21","rank.y.21","rank.x.22","rank.y.22","rank.x.23","rank.y.23","rank.x.24","rank.y.24","rank.x.25","rank.y.25","rank.x.26","rank.y.26","rank.x.27","rank.y.27","rank.x.28","rank.y.28","rank.x.29","rank.y.29","rank.x.30","rank.y.30","rank.x.31","rank.y.31","rank.x.32","rank.y.32","rank.x.33","rank.y.33","rank.x.34","rank.y.34","rank.x.35","rank.y.35","rank.x.36","rank.y.36","rank.x.37","rank.y.37","rank.x.38","rank.y.38","rank.x.39","rank.y.39","rank.x.40","rank.y.40","rank.x.41","rank.y.41","rank.x.42","rank.y.42","rank.x.43","rank.y.43","rank.x.44","rank.y.44","rank.x.45","rank.y.45","rank.x.46","rank.y.46","rank.x.47","rank.y.47","rank.x.48","rank.y.48","rank.x.49","rank.y.49"
"59","itgb1b.2","2:44880680",14,15,12,18,13,16,18,6,19,20,16,10,20,19,17,16,9,13,19,19,16,16,10,17,15,16,14,16,17,22,14,13,18,12,15,9,14,21,17,19,9,15,20,15,11,21,22,18,10,22,18,15,20,14,15,18,18,16,6,22,8,10,21,11,21,11,19,22,15,10,22,20,11,18,11,19,18,13,14,19,14,11,10,17,18,16,11,15,16,15,15,16,9,7,19,14,16,15,11,17
"60","itpa","20:14046054",7,2,5,2,3,4,6,4,6,5,6,2,5,5,6,3,2,4,3,5,3,3,3,6,6,2,8,7,6,5,6,7,6,5,8,7,8,7,5,3,5,2,3,2,5,8,6,7,7,3,2,8,5,2,4,3,4,6,5,6,6,2,7,8,4,7,8,8,4,3,2,6,5,2,3,7,5,8,8,5,7,5,5,3,3,8,7,4,6,8,4,5,7,6,8,4,7,3,6,4
"61","jun","20:14046054",2,5,7,4,4,7,3,5,2,6,8,3,3,2,4,8,5,3,7,8,4,7,5,3,2,5,2,6,4,7,3,6,2,2,3,5,6,6,7,7,3,3,5,3,8,4,7,6,5,4,4,7,2,4,5,8,5,3,6,3,3,4,5,3,2,4,6,5,8,5,6,3,2,7,5,4,8,4,2,3,6,6,7,8,2,6,6,6,5,5,3,4,5,4,4,8,2,4,4,7
"62","kcnab1b","2:44880680",22,16,22,22,18,13,20,21,22,19,19,19,9,17,13,15,10,19,21,20,19,21,12,8,20,21,22,15,22,14,21,20,19,20,18,18,18,19,19,21,19,19,22,20,21,16,19,19,20,21,20,14,16,19,21,17,20,17,21,17,21,19,22,21,18,21,21,18,16,17,21,21,12,20,21,21,19,19,17,21,22,19,18,21,20,21,20,19,18,21,20,18,20,20,17,19,22,21,22,16
"63","kcns3b","20:14046054",17,17,18,17,17,18,17,17,17,18,18,17,17,18,18,17,17,17,17,17,17,17,17,17,18,17,17,17,17,17,17,17,17,18,17,17,18,18,17,17,17,17,16,17,17,17,17,18,17,17,17,17,17,17,18,18,18,17,16,18,18,17,18,17,18,17,18,17,18,17,17,17,17,17,17,18,17,18,18,17,18,17,17,17,17,17,17,16,18,17,17,17,17,18,17,17,18,17,17,17
"64","kif5ba","2:44880680",3,3,5,6,1,7,8,7,9,2,8,1,2,6,10,5,12,3,4,8,2,3,5,13,7,3,5,2,5,2,7,3,7,4,8,1,5,8,13,2,7,2,4,4,1,7,3,8,11,4,3,3,1,3,7,6,8,5,3,1,2,9,5,2,5,8,15,2,4,7,6,1,2,5,6,5,4,11,9,7,5,3,7,9,4,1,2,2,3,2,7,10,4,3,1,4,4,12,5,2
"65","kirrel1b","2:44880680",12,17,18,19,10,10,14,16,14,21,6,5,15,14,14,14,20,17,12,12,11,9,15,11,12,17,10,12,15,9,8,18,15,8,5,20,7,15,15,17,14,14,17,13,8,19,8,10,16,13,12,2,18,13,12,13,12,12,14,20,15,21,8,15,6,14,16,15,13,16,5,7,16,10,9,13,12,17,16,14,12,21,16,20,10,19,14,21,11,12,11,13,12,14,12,13,12,14,16,14
"66","ksr2","5:12451112",6,3,3,5,8,3,5,6,6,7,2,5,7,6,3,3,3,5,6,7,3,3,7,5,5,3,3,6,2,8,4,7,1,8,6,10,7,5,6,4,7,8,5,6,6,7,10,3,9,10,7,6,2,5,5,6,3,8,7,9,4,3,5,9,5,4,3,2,8,5,9,3,5,8,4,6,3,4,6,3,6,7,5,5,9,4,5,8,4,5,3,7,7,7,6,2,5,6,1,2
"67","lig1","2:44880680",9,4,4,1,7,3,9,5,3,7,3,9,5,9,5,1,1,8,3,3,12,5,3,10,3,6,2,7,2,1,2,4,4,2,4,10,3,7,12,5,4,13,8,7,4,14,12,6,13,9,6,9,14,8,5,11,2,1,13,11,6,7,19,3,10,3,11,7,5,2,8,15,3,6,2,7,13,4,1,8,4,5,8,8,7,14,7,4,7,7,12,6,8,5,3,8,8,5,2,9
"68","lpgat1","20:14046054",11,11,13,13,10,10,11,12,11,12,12,10,12,14,11,10,11,14,14,13,11,12,11,10,11,13,11,12,13,11,10,10,13,12,14,13,12,13,13,11,11,11,12,13,13,13,11,10,13,14,13,11,9,13,10,12,13,12,12,12,13,11,11,12,10,11,10,10,10,13,10,13,10,14,11,11,12,10,13,13,12,11,9,12,11,14,11,14,14,11,12,13,12,12,10,9,12,12,11,12
"69","magt1","14:11581401",11,11,11,11,11,11,10,11,11,10,11,10,11,11,11,11,10,11,11,11,11,11,10,11,11,10,11,10,11,10,10,10,10,11,10,10,11,10,10,11,10,11,10,11,10,10,11,10,10,10,10,10,11,11,10,11,11,10,11,11,11,10,11,11,10,11,11,11,11,11,10,11,10,10,10,11,11,10,11,11,10,11,11,11,11,10,11,11,11,11,11,11,11,11,11,10,10,11,11,10
"70","map6d1","2:44880680",21,20,17,10,15,22,21,19,18,18,18,21,22,22,16,22,19,21,22,23,21,12,21,15,18,13,11,18,21,13,19,11,16,19,16,19,21,20,21,15,17,18,13,21,14,20,17,17,17,11,17,19,17,21,23,14,16,15,16,15,16,20,18,19,15,20,13,20,22,18,13,11,21,15,19,15,16,18,22,22,19,16,21,13,19,20,21,22,22,18,16,20,13,21,22,16,21,20,20,21
"71","map6d1","2:45038809",6,3,6,6,5,6,6,6,5,6,6,5,6,6,6,5,6,6,6,6,6,4,5,6,6,6,6,5,5,5,5,6,5,6,6,4,5,6,6,6,6,5,5,5,6,6,5,3,5,5,5,4,6,6,5,6,6,6,6,6,6,3,6,6,6,6,5,6,6,6,5,6,5,3,6,5,5,6,6,6,5,6,6,6,5,6,5,6,6,6,5,6,4,6,5,5,5,6,4,5
"72","mapk1","5:12451112",8,11,11,10,13,13,10,12,10,12,10,6,11,15,13,7,8,8,12,8,10,7,14,7,8,10,12,11,9,7,7,8,8,10,12,9,10,11,13,13,8,12,9,14,10,10,8,11,8,7,8,11,10,11,13,12,10,10,11,7,6,13,11,12,8,8,11,11,12,10,7,9,9,10,9,12,10,11,10,11,9,10,8,8,11,7,13,9,9,9,9,12,14,8,11,7,9,12,8,10
"73","mapre3a","17:36400200",5,6,6,6,6,6,6,5,6,7,6,6,7,6,6,7,6,6,6,6,6,6,7,6,6,6,6,5,6,6,7,5,6,5,6,6,6,6,6,6,6,5,7,6,6,6,7,7,6,6,5,6,5,6,5,7,6,6,6,7,6,6,6,7,7,7,6,6,6,5,5,6,6,6,7,6,6,6,5,5,6,6,7,5,6,6,6,7,6,6,5,6,6,6,7,6,5,4,6,7
"74","mettl13","20:14046054",9,9,9,9,9,11,10,9,10,10,11,11,11,9,9,9,9,11,10,10,12,10,9,12,9,11,9,10,10,10,12,13,9,13,10,9,9,10,9,10,10,10,10,10,11,9,9,9,10,10,10,10,10,11,11,9,11,10,9,10,10,10,9,11,11,10,11,11,12,10,11,12,9,10,10,9,9,9,11,12,10,9,12,10,9,10,10,10,11,10,10,10,10,10,13,11,9,10,10,10
"75","mgst2","14:46314911",7,7,7,9,6,7,7,6,9,8,6,8,7,8,8,7,9,6,6,8,6,8,8,7,8,7,7,7,6,7,6,7,8,9,8,7,8,7,9,7,7,7,7,8,8,6,7,7,7,6,8,6,7,8,7,6,7,6,8,7,6,6,7,8,8,8,7,7,8,8,7,9,7,7,7,7,9,8,7,7,6,7,6,8,7,6,6,8,9,8,8,6,6,8,7,9,9,6,7,8
"76","mlsl","14:46314911",10,10,10,10,10,9,8,9,10,9,9,10,10,9,9,10,10,10,10,10,10,9,10,10,10,10,10,9,10,10,10,11,10,10,10,10,9,10,8,10,10,9,10,10,10,10,9,9,10,10,9,10,9,10,9,11,10,10,10,8,10,8,8,10,9,10,10,9,10,10,9,10,9,10,10,10,10,9,10,8,10,9,9,10,9,10,9,9,10,9,10,10,10,9,9,10,10,9,10,10
"77","mul1a","2:44880680",11,14,7,11,19,12,4,12,7,6,15,14,13,11,7,10,7,7,18,11,14,10,11,14,8,12,9,11,13,16,9,19,3,13,10,11,16,14,16,12,11,7,7,8,10,12,7,11,9,8,8,17,7,10,8,3,11,13,10,6,18,18,7,6,2,10,8,14,14,15,9,10,8,13,18,14,5,12,4,3,10,15,14,6,8,15,10,11,9,9,13,11,15,15,10,7,10,17,8,11
"78","mul1a","2:45038809",3,5,4,2,2,2,4,2,4,2,2,2,2,3,1,4,2,2,2,3,3,2,2,1,2,2,2,2,2,3,2,2,2,2,2,2,3,2,2,2,2,2,2,1,3,3,2,2,4,2,2,2,3,4,2,4,4,2,2,1,2,2,2,2,3,2,2,2,2,3,2,3,2,5,3,2,2,2,2,2,3,2,2,2,3,2,3,2,2,4,3,2,2,3,3,2,3,2,2,4
"79","myo6b","17:36400200",2,4,1,1,4,4,4,3,2,3,2,2,1,1,3,4,5,3,3,4,2,3,3,1,2,2,3,1,2,2,4,2,2,1,3,4,3,3,1,4,2,2,3,3,4,2,4,4,1,3,2,1,4,4,4,2,4,3,3,2,3,4,1,2,4,4,1,4,4,4,3,1,2,3,4,3,4,2,2,4,1,1,4,3,3,1,1,2,1,3,2,4,3,2,2,1,4,1,3,3
"80","myot","14:11581401",6,6,6,7,7,6,7,5,5,6,5,5,6,5,6,5,5,5,5,6,6,5,6,6,6,6,6,6,6,6,5,6,6,7,4,5,6,6,6,6,6,5,6,5,6,5,6,6,6,7,6,5,6,5,6,6,6,6,5,6,6,6,5,6,7,6,5,7,6,5,6,4,5,6,5,6,6,4,5,7,5,6,7,5,5,6,5,6,6,6,7,6,6,7,6,6,8,6,6,6
"81","naa15a","14:46314911",6,6,6,6,8,6,6,7,6,7,7,6,6,6,6,6,7,7,8,6,7,7,6,6,6,8,8,8,7,8,7,6,6,7,7,6,6,6,6,6,8,6,6,6,6,7,6,8,8,9,10,7,8,7,6,7,8,8,7,6,7,9,6,7,6,7,8,6,6,6,8,6,8,9,9,8,6,7,8,6,8,6,8,7,6,7,7,7,6,6,6,7,8,7,6,6,6,8,6,6
"82","ncapd2","2:44880680",13,11,14,20,11,9,7,10,6,9,14,17,10,16,15,11,16,11,16,16,5,17,6,16,21,18,12,6,10,15,11,9,17,17,11,13,12,10,18,11,18,8,19,10,17,11,16,15,5,20,21,12,5,7,10,15,14,14,18,5,9,8,3,13,17,19,7,8,12,12,16,16,13,12,14,16,6,15,12,13,13,17,15,11,14,18,18,9,20,13,5,8,5,19,13,22,14,16,19,20
"83","ncapd2","2:45038809",2,2,3,5,3,3,2,4,3,3,5,3,4,4,4,2,4,3,3,4,2,3,4,3,3,4,3,3,4,4,3,3,4,3,3,5,2,3,4,4,4,3,4,3,4,2,4,4,3,3,4,5,2,2,3,3,2,3,4,4,3,5,4,3,2,3,3,3,4,2,6,2,4,4,4,4,4,4,3,4,4,4,5,4,4,4,4,3,4,3,2,5,5,2,4,4,1,3,5,2
"84","nek2","20:14046054",5,4,3,5,5,5,5,2,3,3,2,4,6,7,5,4,4,5,8,4,7,6,4,7,4,4,7,3,2,2,2,2,4,3,5,6,4,3,4,6,2,5,6,8,3,7,5,3,3,8,3,3,8,3,2,4,2,4,3,8,2,3,4,7,6,2,4,2,3,7,8,4,3,6,4,3,3,3,6,8,3,3,4,2,6,2,3,2,3,7,6,2,4,2,5,6,4,6,2,3
"85","nocta","14:46314911",9,9,9,7,9,10,9,10,7,10,10,9,9,10,10,9,8,9,9,9,9,10,9,8,9,9,9,10,9,9,9,9,9,8,9,9,10,9,10,9,9,10,9,9,9,9,10,10,9,8,7,9,10,9,8,9,9,9,9,10,9,10,10,9,10,9,9,10,9,9,10,8,10,8,8,9,8,10,9,10,9,10,10,9,10,9,10,10,7,10,9,9,9,10,8,8,7,10,9,9
"86","nos1","5:12451112",1,6,5,3,7,2,1,2,2,3,1,1,4,1,6,2,4,6,7,3,6,2,2,3,4,1,2,4,5,5,5,2,3,5,2,4,3,1,4,3,3,5,2,4,1,3,6,5,3,2,4,2,5,3,4,2,4,6,4,1,2,5,3,7,1,2,7,1,1,7,4,1,4,4,2,4,4,2,5,5,3,1,1,4,3,5,6,2,2,4,7,2,1,6,4,4,6,5,2,6
"87","nr0b1","11:29830387",15,14,15,15,15,14,13,15,15,15,14,14,12,14,15,15,14,14,7,14,13,14,11,15,15,15,15,14,12,15,15,14,15,15,14,15,15,15,15,15,12,11,15,15,14,14,14,15,15,15,15,14,12,15,15,13,15,14,13,12,15,15,14,13,15,14,15,13,11,15,13,11,15,12,15,15,15,14,15,12,15,15,15,15,14,13,13,15,15,15,15,15,15,15,14,15,14,13,15,15
"88","nrp1b","2:44880680",4,5,6,7,4,2,1,9,1,3,2,2,4,1,2,7,8,4,5,6,7,4,2,1,4,4,7,3,3,6,4,8,1,3,2,8,2,1,2,4,8,6,6,3,9,1,4,5,3,1,7,4,4,2,4,12,13,3,12,2,7,1,1,1,1,5,3,4,3,3,2,4,4,1,3,6,7,10,7,5,1,2,5,5,5,9,4,1,2,1,2,3,3,2,4,5,2,4,3,3
"89","nudt22","14:22461182",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"90","opn8c","20:14046054",18,18,16,18,18,17,18,18,18,17,17,18,18,17,17,18,18,18,18,18,18,18,18,18,17,18,18,18,18,18,18,18,18,17,18,18,17,17,18,18,18,18,18,18,18,18,18,17,18,18,18,18,18,18,17,17,17,18,18,17,17,18,17,18,17,18,17,18,17,18,18,18,18,18,18,17,18,17,17,18,17,18,18,18,18,18,18,18,17,18,18,18,18,17,18,18,17,18,18,18
"91","p2rx2","5:12451112",15,10,13,13,9,12,9,14,12,8,12,12,15,10,11,11,10,11,14,13,13,12,9,10,9,11,15,13,12,13,14,14,12,9,7,8,12,12,10,6,13,6,11,9,12,12,13,10,10,12,11,12,13,14,10,9,9,15,10,11,13,9,14,11,12,12,5,14,13,14,15,14,13,13,12,11,13,9,12,13,11,15,13,15,7,11,10,12,12,13,12,6,12,11,9,13,14,11,11,9
"92","pask","2:44880680",5,6,10,5,3,6,3,11,10,12,10,11,7,5,11,3,3,6,10,10,1,6,13,7,1,8,3,17,6,5,5,6,8,5,3,6,11,13,9,7,5,4,2,2,5,4,1,4,7,2,2,6,10,4,6,2,7,2,2,4,3,3,4,5,3,7,2,6,10,5,4,8,7,7,8,2,9,3,10,15,8,1,1,4,1,5,5,5,8,8,6,1,7,11,8,9,3,3,10,6
"93","pes","5:12451112",12,13,14,15,10,14,12,15,11,15,15,15,10,11,12,13,14,13,11,14,15,14,15,13,12,13,9,12,10,15,13,13,13,14,13,13,14,15,15,15,14,11,13,15,15,13,15,13,15,13,13,13,11,10,14,15,15,11,13,14,14,7,15,13,15,10,13,13,14,13,12,12,12,14,13,15,15,15,13,9,14,11,12,14,15,12,15,10,14,12,13,13,15,13,13,11,12,15,14,13
"94","pigc","20:14046054",12,13,10,12,11,13,9,11,13,11,10,12,9,12,13,11,12,12,12,11,14,14,13,9,12,12,12,13,11,13,11,14,12,10,12,12,13,11,10,13,12,12,11,12,10,12,10,13,12,12,12,13,11,10,12,13,10,13,11,11,9,13,10,10,12,13,12,13,11,11,13,9,12,11,12,14,13,12,12,11,11,12,15,11,13,11,13,13,10,9,11,9,13,13,12,13,14,13,13,14
"95","pip4p1a","2:44880680",28,28,29,28,29,27,30,30,27,29,28,27,28,30,29,28,29,26,28,28,28,26,29,31,26,27,29,28,28,28,28,29,26,27,25,25,26,28,30,30,28,28,29,29,27,28,30,26,28,24,29,30,28,28,26,30,29,27,28,28,29,29,28,30,27,27,26,31,29,26,29,28,27,30,28,26,29,27,27,27,30,27,30,27,29,30,29,30,27,26,27,31,28,29,27,29,29,26,29,28
"96","pir","11:29830387",17,17,16,17,21,17,18,21,17,21,17,18,17,21,20,17,18,21,17,16,16,21,20,24,20,18,21,17,19,18,18,20,18,18,17,18,19,17,17,17,19,20,17,19,17,17,19,21,17,23,16,19,16,19,19,20,17,21,16,22,23,17,17,17,21,22,17,17,17,17,21,23,16,18,21,17,20,20,16,17,17,19,22,17,20,18,17,16,18,17,19,18,20,17,17,18,22,21,18,16
"97","plekha3","11:29830387",13,12,11,11,8,12,15,11,10,7,13,10,8,7,7,5,13,13,15,13,12,10,14,11,11,14,13,6,6,10,8,13,9,14,6,12,12,14,9,12,11,12,13,13,4,11,10,14,7,13,9,11,11,11,12,11,12,8,10,14,10,13,15,11,9,13,9,14,8,13,7,13,12,10,10,6,7,13,10,11,14,10,12,11,12,15,9,12,8,11,11,7,10,10,8,7,11,10,12,10
"98","plpbp","23:34096507",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"99","plpp6","20:14046054",13,12,11,11,13,12,14,13,14,13,13,13,13,11,12,13,13,10,13,12,13,11,12,14,13,10,13,11,12,12,13,12,11,11,11,10,11,12,11,12,13,13,13,11,12,10,13,12,11,11,11,12,13,9,13,11,12,11,13,13,12,12,13,13,13,12,13,12,13,12,12,11,14,12,13,12,10,13,10,10,13,13,11,13,14,12,12,12,13,12,13,14,11,11,11,12,11,11,12,9
"100","plxna1a","23:34096507",5,6,6,6,5,5,5,5,5,6,5,6,5,5,6,6,6,5,6,6,5,5,6,5,5,6,5,5,6,5,6,6,5,5,5,6,5,6,5,6,6,5,5,5,5,5,5,5,6,6,5,5,6,5,5,5,5,5,5,5,6,5,6,5,5,5,5,5,6,6,5,5,5,6,5,5,5,6,6,6,6,5,5,6,5,6,6,6,5,6,5,5,6,5,5,6,5,5,6,5
"101","pole","5:12451112",11,9,6,8,11,8,7,11,5,9,5,8,8,7,8,10,9,9,4,11,4,5,5,9,10,4,11,7,7,10,9,10,9,7,11,11,9,4,9,10,10,10,8,13,8,6,4,8,7,9,10,8,7,9,9,11,7,7,3,8,10,10,10,5,9,6,6,9,9,8,10,6,8,6,7,9,8,7,7,8,10,8,7,7,6,6,9,6,10,7,5,9,10,9,8,10,10,7,9,7
"102","pomca","17:33116150",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"103","ppef1","11:29830387",5,7,6,7,4,3,6,4,3,4,6,7,4,4,4,3,4,9,5,6,3,6,7,4,9,4,5,5,9,5,5,4,5,6,2,4,7,6,3,5,4,8,4,3,5,8,7,4,6,5,3,4,8,9,7,6,8,6,4,4,6,2,7,8,7,6,7,6,10,4,4,3,8,9,2,9,4,9,8,2,3,5,14,8,3,5,7,10,7,5,8,8,5,3,4,4,4,8,3,5
"104","ppil2","5:12451112",18,17,17,17,16,17,17,17,17,17,16,17,17,18,17,17,17,18,17,17,18,17,17,18,17,18,18,17,18,18,17,18,17,17,18,17,18,17,18,18,17,18,18,16,17,17,17,17,17,18,17,18,17,17,17,17,17,17,17,17,17,17,17,18,17,17,17,17,18,17,17,17,17,17,17,17,17,17,17,18,17,17,17,18,17,17,17,17,17,17,16,17,17,17,17,17,17,18,18,17
"105","ppm1f","5:12451112",13,15,15,12,14,15,15,8,14,13,14,11,14,13,14,15,13,15,13,15,12,15,13,14,14,14,14,14,15,14,11,12,14,12,14,14,15,14,11,14,12,14,14,12,13,11,14,14,14,15,14,14,14,12,12,14,13,14,15,12,12,15,12,15,13,14,15,12,10,12,14,15,15,11,11,14,12,13,15,12,13,13,14,12,13,14,12,14,13,14,14,14,11,15,15,15,15,14,13,14
"106","prdx6","20:14046054",15,15,15,14,15,14,15,15,15,14,16,15,16,15,15,14,15,13,15,15,10,15,15,15,14,14,16,15,14,15,15,15,15,15,15,14,14,16,15,16,16,14,15,15,15,15,16,14,15,15,15,15,14,14,14,14,15,15,17,14,15,14,15,15,15,16,16,14,15,15,14,15,13,15,16,13,15,15,14,14,15,14,14,15,15,13,16,15,15,16,14,15,15,16,15,16,13,16,16,15
"107","prps1b","14:11581401",3,3,3,3,3,3,3,3,4,3,4,4,3,4,3,3,4,4,4,3,3,3,1,4,3,5,3,4,3,2,3,3,4,5,5,3,3,4,1,3,3,3,5,4,3,4,4,3,4,4,4,2,4,4,3,4,4,4,3,4,4,4,4,2,3,3,4,3,2,3,4,2,4,4,3,3,3,5,4,2,4,3,4,3,2,3,3,3,3,4,3,3,4,4,3,3,3,4,4,2
"108","prss56","2:44880680",23,24,23,29,25,23,23,23,26,28,25,23,25,24,23,23,23,24,24,24,24,23,24,24,24,23,24,24,24,25,24,25,24,24,23,23,23,24,24,26,26,23,25,23,23,24,23,23,24,25,24,24,25,24,25,23,25,23,25,23,25,23,25,24,26,24,23,24,24,24,23,25,23,23,25,23,23,25,23,24,23,24,23,25,23,26,23,24,25,27,24,25,23,23,25,23,23,25,24,24
"109","prss56","2:45038809",7,8,7,8,7,10,7,7,8,8,8,8,7,7,7,8,8,8,8,7,8,8,7,7,7,7,7,8,7,7,8,8,8,8,7,8,8,8,8,8,7,8,8,9,7,7,8,7,8,7,7,8,9,7,7,7,8,8,8,8,7,8,8,8,7,7,7,7,8,8,9,8,8,8,9,8,7,7,8,8,7,7,8,8,8,7,7,8,8,8,8,9,8,7,7,8,8,7,7,7
"110","rab33ba","14:46314911",3,1,2,1,3,3,3,2,2,2,3,1,3,2,2,3,1,1,1,1,2,2,2,1,1,1,2,3,1,2,2,1,2,1,2,1,2,1,1,2,2,1,3,1,2,2,2,2,2,3,1,1,2,3,1,2,2,2,1,2,2,1,1,1,3,2,1,1,2,3,1,1,2,2,1,3,1,1,2,2,1,1,3,1,2,2,3,2,2,1,2,2,3,2,1,2,2,1,2,1
"111","rfc5","5:12451112",3,8,7,9,4,9,8,3,8,6,6,7,5,5,5,6,7,2,3,6,9,9,8,6,7,9,4,5,6,4,12,6,2,4,8,6,6,6,8,8,5,9,7,7,5,5,5,7,5,5,3,7,9,8,6,7,6,1,8,6,9,4,8,6,4,7,4,6,3,3,5,8,6,7,6,5,9,5,4,7,4,5,9,9,5,3,4,4,3,6,6,11,6,3,10,9,7,8,7,4
"112","rhag","20:14046054",16,16,17,16,16,16,16,16,16,16,15,16,14,16,16,16,16,16,16,16,16,16,16,16,16,16,14,16,16,16,16,16,16,16,16,16,16,15,16,15,15,16,17,16,16,16,14,16,16,16,16,16,16,16,16,16,16,16,15,16,16,16,16,16,16,15,14,16,16,16,16,16,16,16,15,16,16,16,16,16,16,16,16,16,16,16,15,17,16,15,16,16,16,15,16,15,16,15,15,16
"113","rhogd","14:11581401",1,2,2,2,1,1,1,2,2,1,2,1,1,2,1,1,1,1,2,1,1,2,3,2,1,1,2,2,2,1,1,2,1,1,2,1,1,1,2,1,1,2,1,2,2,1,1,2,1,2,1,1,2,1,1,1,1,2,2,1,1,2,1,1,2,1,2,2,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,3,1
"114","rnf207a","11:29830387",8,8,7,6,10,8,7,10,9,11,8,13,7,8,10,10,5,6,11,10,8,11,12,8,12,9,10,8,11,11,9,6,8,7,11,14,3,10,14,8,7,9,10,6,7,5,8,12,13,8,12,5,13,12,3,9,2,7,6,6,11,7,6,6,6,11,8,8,6,11,12,5,7,8,14,7,11,8,6,9,8,13,10,13,10,10,5,11,12,13,12,6,6,12,10,12,10,6,9,6
"115","rpl22","11:29830387",11,11,9,13,14,6,8,14,13,14,11,9,15,10,13,14,10,11,13,9,7,12,10,14,10,11,14,13,14,14,12,10,10,11,15,10,10,12,7,11,15,13,8,9,11,15,11,9,11,9,10,8,9,13,14,12,10,11,14,13,13,11,10,14,12,9,14,15,12,10,9,12,9,13,12,14,12,12,12,13,6,12,9,10,9,11,15,13,11,10,13,14,14,9,7,11,8,12,10,8
"116","rps6ka4","5:66959339",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"117","sars1","23:34096507",3,3,3,2,3,3,3,3,2,3,3,3,3,2,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,2,3,2,3,3,3,3,3,3,3,2,3,2,2,3,3,3,2,3,3,2,2,3,2,2,3,2,3,3,2,3,3,3,3,3,3,3,3,2,3,2,3,2,2,3,3,2,2,3,2,2,3,2,2,3,3,3,3,2,3,2,3,2,3,3,3,3,3,3,3,3
"118","scml2","11:29830387",14,15,14,14,13,15,14,13,14,13,15,15,14,12,14,13,11,15,14,15,15,13,15,12,13,12,11,15,13,13,14,15,14,8,9,11,14,13,12,13,14,15,14,14,15,13,12,13,12,12,14,15,15,14,10,10,14,13,15,11,12,14,13,12,14,15,11,11,15,12,15,14,14,15,11,13,14,15,14,14,13,14,11,9,11,14,10,14,14,14,14,13,8,14,15,14,15,15,13,14
"119","scrn2","20:14046054",10,10,12,10,12,9,12,10,9,9,9,9,10,10,10,12,10,9,9,9,9,9,10,11,10,9,10,9,9,9,9,9,10,9,9,11,10,9,12,9,9,9,9,9,9,11,12,11,9,9,9,9,12,12,9,10,9,9,10,9,11,9,12,9,9,9,9,9,9,9,9,10,11,9,9,10,11,11,9,9,9,10,10,9,10,9,9,9,9,13,9,11,9,9,9,10,10,9,9,11
"120","sdf2l1","5:12451112",16,16,16,16,17,16,16,16,16,16,17,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,17,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,17,16,16,16,16,16,16,16,16,16
