,ONTOLOGY,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count,gene,lookup gene in the geneID column,,
GO:0032753,NA,GO:0032753,positive regulation of interleukin-4 production,2/101,25/18800,0.00790995,0.043393319,0.030094752,PRKCZ/CEBPB,2,,1,,
GO:0009416,BP,GO:0009416,response to light stimulus,6/101,310/18800,0.006557812,0.039372141,0.027305927,PRKCD/YY1/PPP1CC/CHEK1/POLD1/GRIN2A,6,,1,,
GO:0009314,BP,GO:0009314,response to radiation,8/101,438/18800,0.002489869,0.021642748,0.015009986,PRKCD/YY1/EGR1/PPP1CC/CHEK1/POLD1/XRCC6/GRIN2A,8,,1,,
GO:0071478,BP,GO:0071478,cellular response to radiation,6/101,187/18800,0.00051805,0.008511555,0.005903055,PRKCD/YY1/EGR1/CHEK1/POLD1/XRCC6,6,,1,,
GO:0034644,BP,GO:0034644,cellular response to UV,4/101,88/18800,0.001295129,0.015175234,0.010524544,PRKCD/YY1/CHEK1/POLD1,4,,1,,
GO:0071482,BP,GO:0071482,cellular response to light stimulus,4/101,121/18800,0.004123998,0.030379859,0.021069472,PRKCD/YY1/CHEK1/POLD1,4,,1,,
GO:0009411,BP,GO:0009411,response to UV,4/101,146/18800,0.007966046,0.043402127,0.03010086,PRKCD/YY1/CHEK1/POLD1,4,,1,,
GO:0046627,BP,GO:0046627,negative regulation of insulin receptor signaling pathway,3/101,37/18800,0.001024082,0.013482256,0.009350406,PRKCD/PRKCZ/NCK1,3,,1,,
GO:1900077,BP,GO:1900077,negative regulation of cellular response to insulin stimulus,3/101,39/18800,0.001195186,0.014604708,0.010128865,PRKCD/PRKCZ/NCK1,3,,1,,
GO:0046626,BP,GO:0046626,regulation of insulin receptor signaling pathway,3/101,68/18800,0.005857726,0.037023678,0.025677188,PRKCD/PRKCZ/NCK1,3,,1,,
GO:0043560,MF,GO:0043560,insulin receptor substrate binding,2/100,10/18410,0.001277698,0.026050843,0.02107081,PRKCD/PRKCZ,2,,1,,
GO:1904385,BP,GO:1904385,cellular response to angiotensin,2/101,26/18800,0.008539307,0.045406962,0.031491282,PRKCD/NFKB1,2,,1,,
GO:1900076,BP,GO:1900076,regulation of cellular response to insulin stimulus,4/101,66/18800,0.000438037,0.008037423,0.005574228,PRKCD/MYO1C/PRKCZ/NCK1,4,,1,,
GO:0004715,MF,GO:0004715,non-membrane spanning protein tyrosine kinase activity,3/100,45/18410,0.001870047,0.034315368,0.027755439,PRKCD/FER/PTK2B,3,,1,,
GO:0008286,BP,GO:0008286,insulin receptor signaling pathway,5/101,118/18800,0.000438499,0.008037423,0.005574228,PRKCD/FER/PRKCZ/NCK1/SREBF1,5,,1,,
GO:0032869,BP,GO:0032869,cellular response to insulin stimulus,6/101,205/18800,0.00083823,0.011506272,0.007979994,PRKCD/FER/MYO1C/PRKCZ/NCK1/SREBF1,6,,1,,
GO:0032868,BP,GO:0032868,response to insulin,7/101,259/18800,0.000496775,0.008459618,0.005867035,PRKCD/EGR1/FER/MYO1C/PRKCZ/NCK1/SREBF1,7,,1,,
GO:0000164,CC,GO:0000164,protein phosphatase type 1 complex,2/102,15/19594,0.002695801,0.02574055,0.018673799,PPP1CC/NCK1,2,,1,,
GO:1990391,CC,GO:1990391,DNA repair complex,3/102,44/19594,0.001553523,0.017686257,0.012830713,POLD1/XRCC6/MLH1,3,,1,,
GO:0045785,BP,GO:0045785,positive regulation of cell adhesion,9/101,446/18800,0.000667188,0.009852881,0.00683331,PDGFB/ZBTB16/DPP4/PRKCZ/HSPD1/PTK2B/NCK1/PODXL/SOX2,9,,1,,
GO:1902893,BP,GO:1902893,regulation of miRNA transcription,4/101,59/18800,0.000284679,0.006395314,0.004435369,PDGFB/YY1/EGR1/SREBF1,4,,1,,
GO:0061614,BP,GO:0061614,miRNA transcription,4/101,60/18800,0.000303763,0.006665666,0.004622868,PDGFB/YY1/EGR1/SREBF1,4,,1,,
GO:1902894,NA,GO:1902894,negative regulation of miRNA transcription,2/101,19/18800,0.004604063,0.032382042,0.022458054,PDGFB/YY1,2,,1,,
GO:0051148,BP,GO:0051148,negative regulation of muscle cell differentiation,3/101,68/18800,0.005857726,0.037023678,0.025677188,PDGFB/YBX1/YY1,3,,1,,
GO:0001701,NA,GO:0001701,in utero embryonic development,8/101,387/18800,0.001146242,0.014173379,0.009829723,PDGFB/YBX1/CUL3/HAND1/CNOT1/CHEK1/CHD7/CEBPB,8,,1,,
GO:0051781,BP,GO:0051781,positive regulation of cell division,4/101,89/18800,0.001350542,0.015528741,0.010769713,PDGFB/VEGFC/YBX1/CUL3,4,,1,,
GO:0046777,BP,GO:0046777,protein autophosphorylation,7/101,224/18800,0.000206721,0.005236922,0.003631985,PDGFB/VEGFC/VRK2/MAPK3/PRKD1/FER/PTK2B,7,,1,,
GO:0031093,NA,GO:0031093,platelet alpha granule lumen,3/102,67/19594,0.005154469,0.041235751,0.029914983,PDGFB/VEGFC/THBS1,3,,1,,
GO:0010595,BP,GO:0010595,positive regulation of endothelial cell migration,6/101,131/18800,7.52E-05,0.003006337,0.002084997,PDGFB/VEGFC/PRKD1/THBS1/PTK2B/AKT3,6,,1,,
GO:0043536,BP,GO:0043536,positive regulation of blood vessel endothelial cell migration,5/101,75/18800,5.19E-05,0.002377891,0.001649148,PDGFB/VEGFC/PRKD1/THBS1/AKT3,5,,1,,
GO:0001938,BP,GO:0001938,positive regulation of endothelial cell proliferation,4/101,111/18800,0.003028144,0.024636282,0.017086104,PDGFB/VEGFC/PRKD1/AKT3,4,,1,,
GO:0034774,NA,GO:0034774,secretory granule lumen,8/102,322/19594,0.000280295,0.00460003,0.003337148,PDGFB/VEGFC/PRKCD/NFKB1/THBS1/XRCC6/HSPA8/PSMD6,8,,1,,
GO:0060205,CC,GO:0060205,cytoplasmic vesicle lumen,8/102,325/19594,0.000298295,0.00460003,0.003337148,PDGFB/VEGFC/PRKCD/NFKB1/THBS1/XRCC6/HSPA8/PSMD6,8,,1,,
GO:0031983,CC,GO:0031983,vesicle lumen,8/102,327/19594,0.000310813,0.00460003,0.003337148,PDGFB/VEGFC/PRKCD/NFKB1/THBS1/XRCC6/HSPA8/PSMD6,8,,1,,
GO:0043534,BP,GO:0043534,blood vessel endothelial cell migration,7/101,175/18800,4.43E-05,0.002298885,0.001594355,PDGFB/VEGFC/MEF2C/PRKD1/THBS1/PTK2B/AKT3,7,,1,,
GO:0010594,BP,GO:0010594,regulation of endothelial cell migration,7/101,230/18800,0.000242925,0.005772464,0.004003401,PDGFB/VEGFC/MEF2C/PRKD1/THBS1/PTK2B/AKT3,7,,1,,
GO:0001935,BP,GO:0001935,endothelial cell proliferation,7/101,194/18800,8.48E-05,0.003202647,0.002221145,PDGFB/VEGFC/MEF2C/PRKD1/THBS1/CD34/AKT3,7,,1,,
GO:0043535,BP,GO:0043535,regulation of blood vessel endothelial cell migration,6/101,150/18800,0.000158587,0.004434971,0.003075804,PDGFB/VEGFC/MEF2C/PRKD1/THBS1/AKT3,6,,1,,
GO:0001936,BP,GO:0001936,regulation of endothelial cell proliferation,6/101,178/18800,0.000398895,0.007615523,0.005281626,PDGFB/VEGFC/MEF2C/PRKD1/THBS1/AKT3,6,,1,,
GO:0043542,BP,GO:0043542,endothelial cell migration,8/101,279/18800,0.000130544,0.004162075,0.002886541,PDGFB/VEGFC/MEF2C/PRKD1/DPP4/THBS1/PTK2B/AKT3,8,,1,,
GO:0050921,BP,GO:0050921,positive regulation of chemotaxis,8/101,140/18800,8.73E-07,0.00053034,0.000367809,PDGFB/VEGFC/MAPK3/FGF10/PRKD1/THBS1/LBP/PTK2B,8,,1,,
GO:0050920,BP,GO:0050920,regulation of chemotaxis,10/101,225/18800,3.67E-07,0.000380891,0.000264161,PDGFB/VEGFC/MAPK3/FGF10/PRKD1/DPP4/THBS1/LBP/PTK2B/JAM3,10,,1,,
GO:0097529,BP,GO:0097529,myeloid leukocyte migration,8/101,229/18800,3.28E-05,0.002041425,0.001415798,PDGFB/VEGFC/MAPK3/DPP4/THBS1/LBP/PTK2B/JAM3,8,,1,,
GO:0030595,BP,GO:0030595,leukocyte chemotaxis,8/101,236/18800,4.06E-05,0.002257223,0.001565461,PDGFB/VEGFC/MAPK3/DPP4/THBS1/LBP/PTK2B/JAM3,8,,1,,
GO:0050900,BP,GO:0050900,leukocyte migration,10/101,384/18800,4.14E-05,0.002264537,0.001570534,PDGFB/VEGFC/MAPK3/DPP4/FER/THBS1/LBP/PTK2B/JAM3/CD34,10,,1,,
GO:0060326,BP,GO:0060326,cell chemotaxis,11/101,315/18800,1.02E-06,0.00053034,0.000367809,PDGFB/VEGFC/MAPK3/DOCK4/PRKD1/PRKCD/DPP4/THBS1/LBP/PTK2B/JAM3,11,,1,,
GO:0010634,BP,GO:0010634,positive regulation of epithelial cell migration,7/101,174/18800,4.27E-05,0.002293019,0.001590287,PDGFB/VEGFC/FGF10/PRKD1/THBS1/PTK2B/AKT3,7,,1,,
GO:0050679,BP,GO:0050679,positive regulation of epithelial cell proliferation,5/101,211/18800,0.005631771,0.035813464,0.024837863,PDGFB/VEGFC/FGF10/PRKD1/AKT3,5,,1,,
GO:0010632,BP,GO:0010632,regulation of epithelial cell migration,8/101,290/18800,0.000170144,0.004650593,0.003225345,PDGFB/VEGFC/FGF10/MEF2C/PRKD1/THBS1/PTK2B/AKT3,8,,1,,
GO:0050678,BP,GO:0050678,regulation of epithelial cell proliferation,8/101,382/18800,0.001054844,0.013482256,0.009350406,PDGFB/VEGFC/FGF10/MEF2C/PRKD1/THBS1/AKT3/SOX2,8,,1,,
GO:0010631,BP,GO:0010631,epithelial cell migration,9/101,358/18800,0.000133323,0.004162075,0.002886541,PDGFB/VEGFC/FGF10/MEF2C/PRKD1/DPP4/THBS1/PTK2B/AKT3,9,,1,,
GO:0090132,BP,GO:0090132,epithelium migration,9/101,361/18800,0.000141953,0.004253144,0.002949701,PDGFB/VEGFC/FGF10/MEF2C/PRKD1/DPP4/THBS1/PTK2B/AKT3,9,,1,,
GO:0090130,BP,GO:0090130,tissue migration,9/101,366/18800,0.000157375,0.004434971,0.003075804,PDGFB/VEGFC/FGF10/MEF2C/PRKD1/DPP4/THBS1/PTK2B/AKT3,9,,1,,
GO:0001667,BP,GO:0001667,ameboidal-type cell migration,11/101,480/18800,5.38E-05,0.002384298,0.001653592,PDGFB/VEGFC/FGF10/MEF2C/PRKD1/DPP4/FER/IQGAP1/THBS1/PTK2B/AKT3,11,,1,,
GO:0050918,BP,GO:0050918,positive chemotaxis,3/101,64/18800,0.00494564,0.033501336,0.023234323,PDGFB/VEGFC/FGF10,3,,1,,
GO:0042056,MF,GO:0042056,chemoattractant activity,3/100,36/18410,0.000974804,0.025467745,0.02059918,PDGFB/VEGFC/FGF10,3,,1,,
GO:0031954,BP,GO:0031954,positive regulation of protein autophosphorylation,2/101,26/18800,0.008539307,0.045406962,0.031491282,PDGFB/VEGFC,2,,1,,
GO:0002064,BP,GO:0002064,epithelial cell development,5/101,203/18800,0.004791145,0.032667851,0.022656273,PDGFB/RDX/PDE4D/IQGAP1/PODXL,5,,1,,
GO:0036120,NA,GO:0036120,cellular response to platelet-derived growth factor stimulus,3/101,24/18800,0.000280615,0.006395314,0.004435369,PDGFB/RDX/IQGAP1,3,,1,,
GO:0036119,NA,GO:0036119,response to platelet-derived growth factor,4/101,25/18800,9.10E-06,0.001017828,0.000705899,PDGFB/RDX/FER/IQGAP1,4,,1,,
GO:0043552,BP,GO:0043552,positive regulation of phosphatidylinositol 3-kinase activity,3/101,33/18800,0.000730375,0.010422432,0.007228313,PDGFB/PRKD1/PTK2B,3,,1,,
GO:0043551,BP,GO:0043551,regulation of phosphatidylinositol 3-kinase activity,3/101,57/18800,0.003568551,0.027660711,0.01918365,PDGFB/PRKD1/PTK2B,3,,1,,
GO:0070528,BP,GO:0070528,protein kinase C signaling,3/101,31/18800,0.000606433,0.009483481,0.006577119,PDGFB/PRKCZ/DGKD,3,,1,,
GO:0030213,BP,GO:0030213,hyaluronan biosynthetic process,2/101,14/18800,0.002493336,0.021642748,0.015009986,PDGFB/NFKB1,2,,1,,
GO:0035850,BP,GO:0035850,epithelial cell differentiation involved in kidney development,5/101,48/18800,5.77E-06,0.000906362,0.000628593,PDGFB/MEF2C/IQGAP1/CD34/PODXL,5,,1,,
GO:0061005,BP,GO:0061005,cell differentiation involved in kidney development,5/101,58/18800,1.48E-05,0.001318289,0.000914279,PDGFB/MEF2C/IQGAP1/CD34/PODXL,5,,1,,
GO:0032835,BP,GO:0032835,glomerulus development,6/101,66/18800,1.45E-06,0.000564297,0.000391359,PDGFB/MEF2C/EGR1/IQGAP1/CD34/PODXL,6,,1,,
GO:0072006,BP,GO:0072006,nephron development,6/101,145/18800,0.000131751,0.004162075,0.002886541,PDGFB/MEF2C/EGR1/IQGAP1/CD34/PODXL,6,,1,,
GO:0046982,MF,GO:0046982,protein heterodimerization activity,7/100,332/18410,0.002224916,0.034601265,0.027986682,PDGFB/MCL1/MEF2C/DGKD/CEBPB/TCF4/JAM3,7,,1,,
GO:2000573,BP,GO:2000573,positive regulation of DNA biosynthetic process,4/101,73/18800,0.000642803,0.009613536,0.006667316,PDGFB/MAPK3/PTK2B/PARN,4,,1,,
GO:0018108,BP,GO:0018108,peptidyl-tyrosine phosphorylation,7/101,373/18800,0.0039908,0.030109766,0.020882153,PDGFB/MAPK3/FGF10/PRKCD/FER/PRKCZ/PTK2B,7,,1,,
GO:0018212,BP,GO:0018212,peptidyl-tyrosine modification,7/101,376/18800,0.004168424,0.030561903,0.021195725,PDGFB/MAPK3/FGF10/PRKCD/FER/PRKCZ/PTK2B,7,,1,,
GO:0051052,BP,GO:0051052,regulation of DNA metabolic process,11/101,472/18800,4.63E-05,0.002316035,0.00160625,PDGFB/MAPK3/FGF10/FOXM1/PPARGC1A/PRKCD/YY1/CHEK1/PTK2B/PARN/MLH1,11,,1,,
GO:0051054,BP,GO:0051054,positive regulation of DNA metabolic process,9/101,263/18800,1.22E-05,0.001120294,0.000776962,PDGFB/MAPK3/FGF10/FOXM1/PPARGC1A/PRKCD/PTK2B/PARN/MLH1,9,,1,,
GO:2000278,BP,GO:2000278,regulation of DNA biosynthetic process,5/101,119/18800,0.000455801,0.008181044,0.005673834,PDGFB/MAPK3/CHEK1/PTK2B/PARN,5,,1,,
GO:0071897,BP,GO:0071897,DNA biosynthetic process,6/101,194/18800,0.000628555,0.00960087,0.006658532,PDGFB/MAPK3/CHEK1/POLD1/PTK2B/PARN,6,,1,,
GO:0042692,BP,GO:0042692,muscle cell differentiation,7/101,387/18800,0.004871514,0.033143312,0.022986021,PDGFB/GPER1/YBX1/RORA/FGF10/MEF2C/YY1,7,,1,,
GO:0051147,BP,GO:0051147,regulation of muscle cell differentiation,5/101,153/18800,0.001414205,0.015738082,0.010914899,PDGFB/GPER1/YBX1/MEF2C/YY1,5,,1,,
GO:0006109,BP,GO:0006109,regulation of carbohydrate metabolic process,6/101,183/18800,0.000462087,0.008181044,0.005673834,PDGFB/GPER1/RORA/PPARGC1A/NFKB1/PTK2B,6,,1,,
GO:0043255,BP,GO:0043255,regulation of carbohydrate biosynthetic process,5/101,102/18800,0.000223359,0.005458682,0.003785782,PDGFB/GPER1/PPARGC1A/NFKB1/PTK2B,5,,1,,
GO:0016051,BP,GO:0016051,carbohydrate biosynthetic process,5/101,209/18800,0.005412532,0.035357339,0.024521525,PDGFB/GPER1/PPARGC1A/NFKB1/PTK2B,5,,1,,
GO:0045913,BP,GO:0045913,positive regulation of carbohydrate metabolic process,4/101,77/18800,0.000786222,0.010936906,0.007585118,PDGFB/GPER1/PPARGC1A/NFKB1,4,,1,,
GO:0051055,BP,GO:0051055,negative regulation of lipid biosynthetic process,3/101,61/18800,0.004321946,0.03131903,0.021720819,PDGFB/GPER1/NFKB1,3,,1,,
GO:0048660,BP,GO:0048660,regulation of smooth muscle cell proliferation,6/101,170/18800,0.000312052,0.006705892,0.004650766,PDGFB/GPER1/MEF2C/PPARGC1A/THBS1/XRCC6,6,,1,,
GO:0048659,BP,GO:0048659,smooth muscle cell proliferation,6/101,173/18800,0.000342674,0.007019286,0.004868115,PDGFB/GPER1/MEF2C/PPARGC1A/THBS1/XRCC6,6,,1,,
GO:0033002,BP,GO:0033002,muscle cell proliferation,6/101,233/18800,0.001616857,0.017041037,0.011818542,PDGFB/GPER1/MEF2C/PPARGC1A/THBS1/XRCC6,6,,1,,
GO:0046890,BP,GO:0046890,regulation of lipid biosynthetic process,7/101,175/18800,4.43E-05,0.002298885,0.001594355,PDGFB/GPER1/MBTPS2/PRKCD/NFKB1/EGR1/SREBF1,7,,1,,
GO:0070374,BP,GO:0070374,positive regulation of ERK1 and ERK2 cascade,6/101,220/18800,0.001206732,0.01468819,0.010186762,PDGFB/GPER1/MAPK3/FGF10/PRKCZ/PTK2B,6,,1,,
GO:0070372,BP,GO:0070372,regulation of ERK1 and ERK2 cascade,6/101,311/18800,0.006658369,0.039652506,0.02750037,PDGFB/GPER1/MAPK3/FGF10/PRKCZ/PTK2B,6,,1,,
GO:0070371,BP,GO:0070371,ERK1 and ERK2 cascade,6/101,335/18800,0.009423186,0.048613655,0.033715234,PDGFB/GPER1/MAPK3/FGF10/PRKCZ/PTK2B,6,,1,,
GO:0043410,BP,GO:0043410,positive regulation of MAPK cascade,9/101,491/18800,0.001309674,0.015284439,0.010600281,PDGFB/GPER1/MAPK3/FGF10/PRKCZ/IQGAP1/THBS1/PTK2B/SOX2,9,,1,,
GO:0051145,BP,GO:0051145,smooth muscle cell differentiation,4/101,73/18800,0.000642803,0.009613536,0.006667316,PDGFB/GPER1/FGF10/MEF2C,4,,1,,
GO:1905063,NA,GO:1905063,regulation of vascular associated smooth muscle cell differentiation,2/101,26/18800,0.008539307,0.045406962,0.031491282,PDGFB/GPER1,2,,1,,
GO:0001822,BP,GO:0001822,kidney development,8/101,303/18800,0.000229203,0.005536407,0.003839688,PDGFB/FGF10/MEF2C/ZBTB16/EGR1/IQGAP1/CD34/PODXL,8,,1,,
GO:0072001,BP,GO:0072001,renal system development,8/101,312/18800,0.000279216,0.006395314,0.004435369,PDGFB/FGF10/MEF2C/ZBTB16/EGR1/IQGAP1/CD34/PODXL,8,,1,,
GO:0001655,BP,GO:0001655,urogenital system development,8/101,352/18800,0.000621379,0.00953801,0.006614936,PDGFB/FGF10/MEF2C/ZBTB16/EGR1/IQGAP1/CD34/PODXL,8,,1,,
GO:0001656,BP,GO:0001656,metanephros development,4/101,89/18800,0.001350542,0.015528741,0.010769713,PDGFB/FGF10/EGR1/CD34,4,,1,,
GO:0031589,BP,GO:0031589,cell-substrate adhesion,9/101,364/18800,0.000151046,0.004423449,0.003067813,PDGFB/FER/PRKCZ/THBS1/EDA/TMEFF2/PTK2B/JAM3/CD34,9,,1,,
GO:0048008,BP,GO:0048008,platelet-derived growth factor receptor signaling pathway,3/101,55/18800,0.003224491,0.025733785,0.017847261,PDGFB/FER/IQGAP1,3,,1,,
GO:1902895,BP,GO:1902895,positive regulation of miRNA transcription,3/101,45/18800,0.001813004,0.017900435,0.012414564,PDGFB/EGR1/SREBF1,3,,1,,
GO:0072109,NA,GO:0072109,glomerular mesangium development,3/101,16/18800,8.01E-05,0.003120021,0.002163841,PDGFB/EGR1/CD34,3,,1,,
GO:0072224,BP,GO:0072224,metanephric glomerulus development,3/101,16/18800,8.01E-05,0.003120021,0.002163841,PDGFB/EGR1/CD34,3,,1,,
GO:0072012,BP,GO:0072012,glomerulus vasculature development,3/101,27/18800,0.000400817,0.007615523,0.005281626,PDGFB/EGR1/CD34,3,,1,,
GO:0061437,BP,GO:0061437,renal system vasculature development,3/101,29/18800,0.000496826,0.008459618,0.005867035,PDGFB/EGR1/CD34,3,,1,,
GO:0061440,BP,GO:0061440,kidney vasculature development,3/101,29/18800,0.000496826,0.008459618,0.005867035,PDGFB/EGR1/CD34,3,,1,,
GO:0072210,BP,GO:0072210,metanephric nephron development,3/101,40/18800,0.001287082,0.015175234,0.010524544,PDGFB/EGR1/CD34,3,,1,,
GO:0072124,NA,GO:0072124,regulation of glomerular mesangial cell proliferation,2/101,10/18800,0.00125037,0.014927788,0.010352932,PDGFB/EGR1,2,,1,,
GO:0072110,NA,GO:0072110,glomerular mesangial cell proliferation,2/101,11/18800,0.001522882,0.016357734,0.011344648,PDGFB/EGR1,2,,1,,
GO:1901722,NA,GO:1901722,regulation of cell proliferation involved in kidney development,2/101,14/18800,0.002493336,0.021642748,0.015009986,PDGFB/EGR1,2,,1,,
GO:0072111,BP,GO:0072111,cell proliferation involved in kidney development,2/101,21/18800,0.005614758,0.035778294,0.024813471,PDGFB/EGR1,2,,1,,
GO:1904752,NA,GO:1904752,regulation of vascular associated smooth muscle cell migration,3/101,44/18800,0.001698718,0.017298056,0.011996794,PDGFB/DOCK4/MEF2C,3,,1,,
GO:1904738,NA,GO:1904738,vascular associated smooth muscle cell migration,3/101,45/18800,0.001813004,0.017900435,0.012414564,PDGFB/DOCK4/MEF2C,3,,1,,
GO:1904754,NA,GO:1904754,positive regulation of vascular associated smooth muscle cell migration,2/101,20/18800,0.005097787,0.033941678,0.023539715,PDGFB/DOCK4,2,,1,,
GO:0045787,BP,GO:0045787,positive regulation of cell cycle,6/101,329/18800,0.008666353,0.046004013,0.031905358,PDGFB/CUL3/RDX/FGF10/CHEK1/SRPK2,6,,1,,
GO:0072202,BP,GO:0072202,cell differentiation involved in metanephros development,2/101,24/18800,0.007302565,0.041222453,0.028589182,PDGFB/CD34,2,,1,,
GO:0003094,BP,GO:0003094,glomerular filtration,2/101,26/18800,0.008539307,0.045406962,0.031491282,PDGFB/CD34,2,,1,,
GO:0097205,BP,GO:0097205,renal filtration,2/101,27/18800,0.009190386,0.04757017,0.032991541,PDGFB/CD34,2,,1,,
GO:0031091,NA,GO:0031091,platelet alpha granule,4/102,91/19594,0.001307605,0.015482037,0.011231635,PDGFB/APLP2/VEGFC/THBS1,4,,1,,
GO:0032754,NA,GO:0032754,positive regulation of interleukin-5 production,2/101,10/18800,0.00125037,0.014927788,0.010352932,PDE4D/PRKCZ,2,,1,,
GO:0031331,BP,GO:0031331,positive regulation of cellular catabolic process,12/101,449/18800,5.19E-06,0.000906362,0.000628593,PARK7/YBX1/TRIM27/UFL1/CNOT1/RDX/MAPK3/PRKD1/PRKCD/PTK2B/PARN/MLH1,12,,1,,
GO:0006979,BP,GO:0006979,response to oxidative stress,9/101,433/18800,0.000540048,0.00870197,0.006035114,PARK7/VRK2/MAPK3/MCL1/PRKD1/PPARGC1A/PRKCD/FER/PTK2B,9,,1,,
GO:0034599,BP,GO:0034599,cellular response to oxidative stress,8/101,284/18800,0.000147475,0.004376487,0.003035243,PARK7/VRK2/MAPK3/MCL1/PRKD1/PPARGC1A/PRKCD/FER,8,,1,,
GO:0062197,BP,GO:0062197,cellular response to chemical stress,8/101,332/18800,0.000422757,0.007935601,0.005503611,PARK7/VRK2/MAPK3/MCL1/PRKD1/PPARGC1A/PRKCD/FER,8,,1,,
GO:1903573,BP,GO:1903573,negative regulation of response to endoplasmic reticulum stress,3/101,44/18800,0.001698718,0.017298056,0.011996794,PARK7/UFL1/NCK1,3,,1,,
GO:1905897,BP,GO:1905897,regulation of response to endoplasmic reticulum stress,4/101,82/18800,0.00099557,0.013257244,0.009194352,PARK7/UFL1/MBTPS2/NCK1,4,,1,,
GO:0033143,BP,GO:0033143,regulation of intracellular steroid hormone receptor signaling pathway,3/101,72/18800,0.006864167,0.04028012,0.027935642,PARK7/UFL1/CNOT1,3,,1,,
GO:0010508,BP,GO:0010508,positive regulation of autophagy,5/101,136/18800,0.000836068,0.011506272,0.007979994,PARK7/TRIM27/UFL1/MAPK3/PRKD1,5,,1,,
GO:0010506,BP,GO:0010506,regulation of autophagy,7/101,336/18800,0.002240584,0.020753735,0.014393425,PARK7/TRIM27/UFL1/MAPK3/MCL1/PRKD1/SREBF1,7,,1,,
GO:0051090,BP,GO:0051090,regulation of DNA-binding transcription factor activity,11/101,452/18800,3.12E-05,0.002041425,0.001415798,PARK7/TRIM27/UFL1/HAND1/MAPK3/MBTPS2/PRKD1/PPARGC1A/FER/PRKCZ/EDA,11,,1,,
GO:1902903,BP,GO:1902903,regulation of supramolecular fiber organization,9/101,376/18800,0.000192441,0.004955752,0.003436984,PARK7/TRIM27/RDX/PRKCD/FER/TMEFF2/PTK2B/NCK1/HSPA8,9,,1,,
GO:0016605,CC,GO:0016605,PML body,5/102,105/19594,0.000221467,0.00460003,0.003337148,PARK7/TRIM27/PPARGC1A/ZBTB16/SATB1,5,,1,,
GO:0051091,BP,GO:0051091,positive regulation of DNA-binding transcription factor activity,8/101,265/18800,9.15E-05,0.003352958,0.002325391,PARK7/TRIM27/MBTPS2/PRKD1/PPARGC1A/FER/PRKCZ/EDA,8,,1,,
GO:0016925,BP,GO:0016925,protein sumoylation,3/101,54/18800,0.003060438,0.024834183,0.017223356,PARK7/TRIM27/EGR1,3,,1,,
GO:0140297,MF,GO:0140297,DNA-binding transcription factor binding,9/100,470/18410,0.001040916,0.025467745,0.02059918,PARK7/TLE1/HAND1/CNOT1/MEF2C/PPARGC1A/YY1/CEBPB/CD34,9,,1,,
GO:0016570,BP,GO:0016570,histone modification,10/101,494/18800,0.000324696,0.006745019,0.004677901,PARK7/TAF5/VRK2/UFL1/MAPK3/PRKD1/PPARGC1A/PRKCD/CHEK1/SREBF1,10,,1,,
GO:0018205,BP,GO:0018205,peptidyl-lysine modification,7/101,392/18800,0.005219195,0.034528685,0.023946825,PARK7/TAF5/TRIM27/MAPK3/PPARGC1A/EGR1/CHEK1,7,,1,,
GO:0016573,BP,GO:0016573,histone acetylation,5/101,167/18800,0.002077195,0.019733349,0.013685753,PARK7/TAF5/MAPK3/PPARGC1A/CHEK1,5,,1,,
GO:0018393,BP,GO:0018393,internal peptidyl-lysine acetylation,5/101,173/18800,0.002421526,0.021642748,0.015009986,PARK7/TAF5/MAPK3/PPARGC1A/CHEK1,5,,1,,
GO:0006475,BP,GO:0006475,internal protein amino acid acetylation,5/101,175/18800,0.002545018,0.021944533,0.015219284,PARK7/TAF5/MAPK3/PPARGC1A/CHEK1,5,,1,,
GO:0018394,BP,GO:0018394,peptidyl-lysine acetylation,5/101,184/18800,0.003157976,0.025492883,0.017680187,PARK7/TAF5/MAPK3/PPARGC1A/CHEK1,5,,1,,
GO:0006473,BP,GO:0006473,protein acetylation,5/101,216/18800,0.006207227,0.038095408,0.026420469,PARK7/TAF5/MAPK3/PPARGC1A/CHEK1,5,,1,,
GO:0031333,BP,GO:0031333,negative regulation of protein-containing complex assembly,5/101,145/18800,0.001114123,0.01388643,0.009630714,PARK7/RDX/PRKCD/PRKCZ/JAM3,5,,1,,
GO:0043254,BP,GO:0043254,regulation of protein-containing complex assembly,9/101,401/18800,0.000309505,0.006697345,0.004644838,PARK7/RDX/PRKCD/FER/PRKCZ/PTK2B/NCK1/JAM3/HSPA8,9,,1,,
GO:0032386,BP,GO:0032386,regulation of intracellular transport,9/101,332/18800,7.53E-05,0.003006337,0.002084997,PARK7/RDX/MAPK3/PRKD1/PRKCD/MYO1C/PPP1CC/CDH1/SREBF1,9,,1,,
GO:0045296,MF,GO:0045296,cadherin binding,7/100,333/18410,0.002262753,0.034601265,0.027986682,PARK7/RDX/FER/IQGAP1/NCK1/HSPA8/CDH1,7,,1,,
GO:0005911,CC,GO:0005911,cell-cell junction,12/102,497/19594,1.06E-05,0.001049205,0.000761159,PARK7/RDX/CDC42BPB/PRKD1/PRKCD/DPP4/PRKCZ/IQGAP1/NCK1/JAM3/PODXL/CDH1,12,,1,,
